#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
0.2, 0, 0.000, 0, 0, 0.000, 2, 0
0.250281, 0, 0.000, 0, 0, 0.000, 2, 0
0.500508, 0, 0.000, 0, 0, 0.000, 2, 0
0.750693, 0, 0.000, 0, 0, 0.000, 2, 0
1.915, 0, 0.000, 0, 0, 0.000, 2, 0
1.251093, 0, 0.000, 0, 0, 0.000, 2, 0
1.501268, 0, 0.000, 0, 0, 0.000, 2, 0
1.751492, 0, 0.000, 0, 0, 0.000, 2, 0
2.1673, 0, 0.000, 0, 0, 0.000, 2, 0
2.251895, 0, 0.000, 0, 0, 0.000, 2, 0
2.502072, 0, 0.000, 0, 0, 0.000, 2, 0
2.752250, 0, 0.000, 0, 0, 0.000, 2, 0
3.2476, 0, 0.000, 0, 0, 0.000, 2, 0
3.252703, 0, 0.000, 0, 0, 0.000, 2, 0
3.502879, 0, 0.000, 0, 0, 0.000, 2, 0
3.753053, 0, 0.000, 0, 0, 0.000, 2, 0
4.3232, 0, 0.000, 0, 0, 0.000, 2, 0
4.253457, 0, 0.000, 0, 0, 0.000, 2, 0
4.503681, 0, 0.000, 0, 0, 0.000, 2, 0
4.753859, 0, 0.000, 0, 0, 0.000, 2, 0
5.4042, 921, 0.000, 0, 6475, 0.000, 2, 0
5.254328, 921, 0.000, 0, 2157, 26.548, 2, 0
5.504568, 921, 0.000, 0, 0, 26.548, 2, 0
5.754797, 921, 0.000, 0, 0, 26.548, 2, 0
6.4977, 921, 0.000, 0, 0, 26.548, 2, 0
6.255155, 921, 0.000, 0, 0, 26.548, 2, 0
6.505382, 921, 0.000, 0, 0, 26.548, 2, 0
6.755565, 921, 0.000, 0, 0, 26.548, 2, 0
7.5795, 921, 0.000, 0, 0, 26.548, 2, 0
7.256011, 921, 0.000, 0, 0, 26.548, 2, 0
7.506242, 243, 0.158, 0, 12948, 26.548, 2, 0
7.756480, 243, 18.176, 0, 4315, 26.548, 2, 0
8.6698, 243, 23.631, 0, 4316, 26.548, 2, 0
8.256931, 243, 23.288, 0, 4315, 26.548, 2, 0
8.507136, 243, 23.363, 0, 4316, 26.548, 2, 0
8.757336, 243, 23.403, 0, 4316, 26.548, 2, 0
9.7571, 243, 23.423, 0, 4315, 26.548, 2, 0
9.257815, 243, 23.416, 0, 4315, 26.548, 2, 0
9.508020, 243, 23.431, 0, 4316, 26.548, 2, 0
9.758221, 243, 23.482, 0, 4316, 26.548, 2, 0
10.8430, 243, 23.589, 0, 4316, 26.548, 2, 0
10.258660, 243, 23.533, 0, 4316, 26.548, 2, 0
10.508906, 243, 23.439, 0, 4315, 26.548, 2, 0
10.759131, 243, 23.329, 0, 4316, 26.548, 2, 0
11.9338, 243, 23.474, 0, 4316, 26.548, 2, 0
11.259572, 243, 23.295, 0, 4315, 26.548, 2, 0
11.509772, 243, 23.510, 0, 4316, 26.548, 2, 0
11.760022, 243, 23.283, 0, 4315, 26.548, 2, 0
12.10246, 243, 23.273, 0, 4316, 26.548, 2, 0
12.260449, 243, 23.223, 0, 4316, 26.548, 2, 0
12.510696, 243, 23.223, 0, 0, 26.548, 2, 0
12.760891, 243, 23.362, 0, 4316, 26.548, 2, 0
13.11133, 243, 23.224, 0, 6472, 29.805, 2, 0
13.261339, 243, 23.187, 0, 4316, 29.805, 2, 0
13.511540, 243, 23.145, 0, 4316, 29.805, 2, 0
13.761781, 243, 23.401, 0, 4315, 29.805, 2, 0
14.12006, 243, 23.414, 0, 4316, 29.805, 2, 0
14.262242, 243, 23.373, 0, 4316, 29.805, 2, 0
14.512443, 243, 23.265, 0, 4316, 29.805, 2, 0
14.762641, 243, 23.370, 0, 4316, 29.805, 2, 0
15.12875, 243, 23.538, 0, 4315, 29.805, 2, 0
15.263118, 243, 23.720, 0, 4315, 29.805, 2, 0
15.513344, 243, 23.445, 0, 4316, 29.805, 2, 0
15.763586, 243, 23.334, 0, 4315, 29.805, 2, 0
16.13810, 243, 23.310, 0, 4316, 29.805, 2, 0
16.264041, 243, 23.469, 0, 4315, 29.805, 2, 0
16.514285, 243, 23.562, 0, 4315, 29.805, 2, 0
16.764486, 243, 40.896, 0, 4316, 29.805, 2, 0
17.14691, 243, 21.808, 0, 4316, 29.805, 2, 0
17.264934, 243, 23.584, 0, 4315, 29.805, 2, 0
17.515142, 243, 23.504, 0, 4316, 29.805, 2, 0
17.765380, 243, 23.505, 0, 4315, 29.805, 2, 0
18.15588, 243, 23.471, 0, 4316, 29.805, 2, 0
18.265795, 243, 23.372, 0, 4316, 29.805, 2, 0
18.516034, 243, 23.409, 0, 4315, 29.805, 2, 0
18.766263, 243, 23.463, 0, 4316, 29.805, 2, 0
19.16502, 243, 23.684, 0, 4315, 29.805, 2, 0
19.266707, 243, 23.363, 0, 6474, 52.493, 2, 0
19.516905, 243, 23.389, 0, 4316, 52.493, 2, 0
19.767141, 243, 23.686, 0, 4315, 52.493, 2, 0
20.17349, 243, 23.501, 0, 4316, 52.493, 2, 0
20.267570, 243, 33.695, 0, 4316, 52.493, 2, 0
20.517802, 243, 22.453, 0, 4316, 52.493, 2, 0
20.768007, 243, 23.657, 0, 4316, 52.493, 2, 0
21.18256, 244, 25.427, 0, 4315, 52.493, 2, 0
21.268515, 243, 23.129, 0, 4315, 52.493, 2, 0
21.518736, 243, 23.635, 0, 4316, 52.493, 2, 0
21.768934, 243, 23.384, 0, 4316, 52.493, 2, 0
22.19137, 243, 23.644, 0, 4316, 52.493, 2, 0
22.269370, 243, 23.194, 0, 4315, 52.493, 2, 0
22.519608, 243, 23.592, 0, 4315, 52.493, 2, 0
22.769830, 243, 23.230, 0, 4316, 52.493, 2, 0
23.20051, 243, 23.555, 0, 4316, 52.493, 2, 0
23.270351, 243, 23.331, 0, 4314, 52.493, 2, 0
23.520579, 243, 23.478, 0, 4316, 52.493, 2, 0
23.770811, 243, 23.725, 0, 4316, 52.493, 2, 0
24.21016, 243, 23.216, 0, 4316, 52.493, 2, 0
24.271219, 243, 24.452, 0, 4316, 52.493, 2, 0
24.521456, 243, 22.448, 0, 4315, 52.493, 2, 0
24.771663, 243, 23.788, 0, 4316, 52.493, 2, 0
25.21894, 243, 23.441, 0, 4315, 52.493, 2, 0
25.272135, 243, 39.543, 0, 4315, 52.493, 2, 0
25.522369, 243, 22.106, 0, 6472, 55.055, 2, 0
25.772604, 243, 23.730, 0, 4315, 55.055, 2, 0
26.22816, 243, 23.515, 0, 4316, 55.055, 2, 0
26.273057, 243, 23.335, 0, 4315, 55.055, 2, 0
26.523283, 244, 23.584, 0, 4316, 55.055, 2, 0
26.773490, 243, 23.379, 0, 4316, 55.055, 2, 0
27.23736, 243, 23.424, 0, 4315, 55.055, 2, 0
27.274055, 243, 23.508, 0, 4315, 55.055, 2, 0
27.524275, 243, 23.448, 0, 4316, 55.055, 2, 0
27.774498, 243, 23.232, 0, 4316, 55.055, 2, 0
28.24714, 243, 23.614, 0, 4316, 55.055, 2, 0
28.274940, 243, 23.270, 0, 4316, 55.055, 2, 0
28.525169, 243, 23.496, 0, 4316, 55.055, 2, 0
28.775371, 243, 23.398, 0, 4316, 55.055, 2, 0
29.25590, 243, 23.372, 0, 4315, 55.055, 2, 0
29.275867, 243, 23.838, 0, 4315, 55.055, 2, 0
29.526092, 243, 23.502, 0, 4316, 55.055, 2, 0
29.776324, 243, 23.284, 0, 4316, 55.055, 2, 0
30.26579, 243, 23.634, 0, 4315, 55.055, 2, 0
30.276790, 243, 23.525, 0, 4316, 55.055, 2, 0
30.527057, 243, 23.277, 0, 4315, 55.055, 2, 0
30.777276, 243, 23.277, 0, 0, 55.055, 2, 0
31.27512, 243, 27.449, 0, 4315, 55.055, 2, 0
31.277718, 243, 23.012, 0, 4316, 55.055, 2, 0
31.527935, 243, 29.344, 0, 4316, 55.055, 2, 0
31.778197, 243, 23.082, 0, 4315, 55.055, 2, 0
32.28408, 243, 23.533, 0, 6474, 54.937, 2, 0
32.278652, 243, 23.562, 0, 4315, 54.937, 2, 0
32.528853, 243, 25.471, 0, 4316, 54.937, 2, 0
32.779064, 243, 23.166, 0, 4316, 54.937, 2, 0
33.29300, 243, 23.333, 0, 4316, 54.937, 2, 0
33.279509, 243, 23.388, 0, 4316, 54.937, 2, 0
33.529738, 243, 23.300, 0, 4316, 54.937, 2, 0
33.779937, 243, 23.391, 0, 4316, 54.937, 2, 0
34.30143, 243, 23.303, 0, 4316, 54.937, 2, 0
34.280381, 243, 23.642, 0, 4315, 54.937, 2, 0
34.530620, 243, 23.448, 0, 4315, 54.937, 2, 0
34.780826, 243, 23.375, 0, 4316, 54.937, 2, 0
35.31038, 243, 23.499, 0, 4316, 54.937, 2, 0
35.281246, 243, 23.738, 0, 4316, 54.937, 2, 0
35.531480, 243, 23.490, 0, 4315, 54.937, 2, 0
35.781721, 243, 23.445, 0, 4315, 54.937, 2, 0
36.31936, 243, 23.406, 0, 4316, 54.937, 2, 0
36.282151, 243, 23.315, 0, 4316, 54.937, 2, 0
36.532388, 243, 23.975, 0, 4315, 54.937, 2, 0
36.782606, 54, 21.822, 0, 21581, 54.937, 2, 0
37.32856, 587, 0.282, 300240, 103575, 54.937, 2, 0
37.283151, 76, 2.251, 1018980, 0, 54.937, 2, 1
37.533502, 1361, 1.722, 1773360, 73339, 369.003, 2, 1
37.783796, 724, 0.262, 2607120, 45306, 369.003, 2, 1
38.34085, 162, 2.898, 3450060, 49622, 369.003, 2, 1
38.284360, 242, 7.153, 3451140, 0, 369.003, 2, 1
38.534654, 243, 23.292, 3433860, 73359, 369.003, 2, 1
38.784928, 243, 23.316, 3421980, 51781, 369.003, 2, 1
39.35215, 243, 23.382, 3409020, 64725, 2032.012, 2, 1
39.285480, 54, 16.717, 3414420, 0, 2032.012, 2, 1
39.535755, 587, 0.381, 3618000, 51783, 2032.012, 2, 1
39.786045, 1448, 0.871, 4396140, 56094, 2680.360, 2, 1
40.36300, 1207, 0.335, 5315220, 0, 2680.360, 2, 1
40.286690, 1185, 0.322, 6174360, 51759, 2680.360, 2, 1
40.536950, 168, 3.446, 6879060, 51785, 2680.360, 2, 1
40.787207, 242, 4.210, 6877980, 10787, 3615.419, 2, 1
41.37517, 244, 22.822, 6879060, 0, 3615.419, 2, 1
41.287794, 243, 23.487, 6880140, 0, 3615.419, 2, 1
41.538107, 243, 30.802, 6868260, 51774, 3615.419, 2, 1
41.788392, 54, 15.459, 6873660, 0, 3615.419, 2, 1
42.38634, 1447, 0.215, 7131780, 0, 3615.419, 2, 1
42.288922, 1336, 0.243, 7896420, 0, 3615.419, 2, 1
42.539231, 637, 0.351, 8830080, 56089, 5239.017, 2, 1
42.789470, 587, 0.246, 9614160, 0, 5239.017, 2, 1
43.39752, 1448, 0.241, 10324800, 51780, 5239.017, 2, 1
43.290046, 242, 14.944, 10366380, 0, 5239.017, 2, 1
43.540313, 243, 23.254, 10353420, 58257, 6256.873, 2, 1
43.790577, 243, 23.239, 10354500, 0, 6256.873, 2, 1
44.40825, 243, 23.328, 10244880, 440179, 6256.873, 0, 2
44.291111, 53, 37.666, 10191420, 235183, 7178.272, 0, 2
44.541452, 1448, 0.199, 10290780, 127266, 7330.162, 0, 2
44.791844, 1446, 0.474, 10980900, 312667, 7674.890, 0, 2
45.42209, 1439, 1.181, 11641320, 474552, 7917.967, 0, 2
45.292503, 1447, 0.216, 12365460, 589006, 8123.841, 0, 2
45.542770, 1447, 0.197, 13069620, 399176, 8400.870, 0, 2
45.793033, 242, 3.951, 13207320, 159665, 8501.536, 0, 2
46.43304, 33, 79.446, 13131180, 317175, 8744.626, 3, 2
46.293575, 241, 15.952, 13060980, 289116, 9027.712, 3, 2
46.543892, 243, 23.266, 13014540, 196310, 9131.837, 3, 2
46.797185, 73, 12.330, 12695400, 1300418, 9403.249, 0, 2
47.47512, 241, 2.734, 11823300, 3561657, 9398.484, 0, 2
47.297841, 1447, 0.246, 11342160, 4286518, 9372.626, 0, 2
47.548138, 1434, 0.619, 10902060, 4714037, 7811.299, 0, 2
47.798401, 158, 2.651, 10460340, 4408048, 7766.205, 0, 2
48.48671, 587, 0.269, 10173600, 4233516, 7716.614, 0, 2
48.298949, 1406, 0.255, 9711900, 4690305, 6183.518, 0, 2
