#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
129.151857, 243, 23.441, 57144420, 112196, 73073.398, 0, 2
129.402090, 243, 23.742, 57117960, 112214, 73398.570, 0, 2
129.652307, 243, 22.764, 57119040, 0, 73398.570, 0, 2
129.902541, 243, 23.407, 57092580, 112213, 73810.219, 0, 2
130.152790, 243, 24.167, 57064500, 118680, 74112.844, 0, 2
130.403036, 243, 23.979, 57036960, 116525, 74446.055, 0, 2
130.653252, 243, 23.859, 57038040, 0, 74446.055, 0, 2
130.903488, 243, 24.069, 57039120, 0, 74446.055, 0, 2
131.153743, 243, 23.461, 57011040, 118679, 75078.406, 0, 2
131.403972, 243, 23.472, 57012120, 0, 75078.406, 0, 2
131.654215, 243, 23.397, 57013200, 0, 75078.406, 0, 2
131.904401, 243, 23.397, 56978640, 140291, 75758.844, 0, 2
