#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
0.2, 0, 0.000, 0, 0, 0.000, 2, 0
0.250241, 0, 0.000, 0, 0, 0.000, 2, 0
0.500426, 0, 0.000, 0, 0, 0.000, 2, 0
0.750600, 0, 0.000, 0, 0, 0.000, 2, 0
1.743, 0, 0.000, 0, 0, 0.000, 2, 0
1.250929, 0, 0.000, 0, 0, 0.000, 2, 0
1.501074, 0, 0.000, 0, 0, 0.000, 2, 0
1.751261, 0, 0.000, 0, 0, 0.000, 2, 0
2.1404, 0, 0.000, 0, 0, 0.000, 2, 0
2.251547, 0, 0.000, 0, 0, 0.000, 2, 0
2.501752, 0, 0.000, 0, 0, 0.000, 2, 0
2.751900, 0, 0.000, 0, 0, 0.000, 2, 0
3.2087, 0, 0.000, 0, 0, 0.000, 2, 0
3.252239, 0, 0.000, 0, 0, 0.000, 2, 0
3.502407, 0, 0.000, 0, 0, 0.000, 2, 0
3.752594, 0, 0.000, 0, 0, 0.000, 2, 0
4.2738, 0, 0.000, 0, 0, 0.000, 2, 0
4.252915, 0, 0.000, 0, 0, 0.000, 2, 0
4.503054, 0, 0.000, 0, 0, 0.000, 2, 0
4.753195, 0, 0.000, 0, 0, 0.000, 2, 0
5.3399, 921, 0.000, 0, 0, 0.000, 2, 0
5.253628, 921, 0.000, 0, 0, 58.007, 2, 0
5.503812, 921, 0.000, 0, 0, 58.007, 2, 0
5.753955, 921, 0.000, 0, 0, 58.007, 2, 0
6.4102, 921, 0.000, 0, 0, 58.007, 2, 0
6.254286, 921, 0.000, 0, 0, 58.007, 2, 0
6.504468, 921, 0.000, 0, 0, 58.007, 2, 0
6.754610, 921, 0.000, 0, 0, 58.007, 2, 0
7.4758, 921, 0.000, 0, 0, 58.007, 2, 0
7.254950, 921, 0.000, 0, 0, 58.007, 2, 0
7.505149, 243, 0.148, 0, 0, 58.007, 2, 0
7.755344, 243, 18.166, 0, 0, 58.007, 2, 0
8.5518, 243, 23.552, 0, 0, 58.007, 2, 0
8.255687, 243, 23.269, 0, 0, 58.007, 2, 0
