"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"106","3.046721000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"108","3.061199000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"109","3.148624000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"110","3.148694000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"112","3.250501000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"113","3.250570000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"115","3.352261000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"116","3.352327000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"118","3.432450000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"119","3.453122000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"120","3.453258000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"122","3.553846000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"123","3.553913000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"125","3.656419000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"126","3.656535000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"128","3.757964000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"129","3.758033000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"130","3.776226000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"132","3.859899000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"133","3.860116000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"135","3.961812000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"136","3.961876000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"138","4.064028000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"139","4.064053000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"140","4.067492000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"142","4.166415000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"143","4.166456000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"145","4.267859000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"146","4.267935000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"148","4.288705000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"149","4.369563000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"150","4.369703000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"152","4.471434000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"153","4.471508000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"155","4.571270000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"156","4.571496000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"158","4.598726000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"159","4.672980000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"160","4.673067000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"162","4.773306000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"163","4.773365000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"165","4.874140000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"166","4.874358000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"168","4.912491000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"169","4.975044000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"170","4.975248000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"172","5.076947000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"173","5.077271000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"175","5.180764000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"176","5.180897000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"178","5.211326000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"179","5.293304000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"180","5.293386000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"182","5.384551000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"183","5.384644000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"185","5.486348000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"186","5.486418000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"188","5.526192000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"189","5.586254000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"190","5.586313000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"191","5.687495000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"192","5.687600000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"195","5.787957000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"196","5.788044000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"198","5.852501000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"199","5.889759000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"200","5.889826000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"202","5.991669000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"203","5.991754000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"205","6.094033000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"206","6.094067000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"210","5.932007000","192.168.0.254","192.168.0.33","87","Client: Protocol (SSH-2.0-OpenSSH_7.7)","","21","SSHv2"
"212","5.964723000","192.168.0.33","192.168.0.254","107","Server: Protocol (SSH-2.0-OpenSSH_6.7p1 Raspbian-5+deb8u3)","","41","SSHv2"
"214","5.966708000","192.168.0.254","192.168.0.33","1426","Client: Key Exchange Init","","1360","SSHv2"
"215","5.967172000","192.168.0.33","192.168.0.254","1018","Server: Key Exchange Init","","952","SSHv2"
"217","5.969853000","192.168.0.254","192.168.0.33","114","Client: Diffie-Hellman Key Exchange Init","","48","SSHv2"
"218","6.001726000","192.168.0.33","192.168.0.254","346","Server: Diffie-Hellman Key Exchange Reply, New Keys","","280","SSHv2"
"220","6.008116000","192.168.0.254","192.168.0.33","82","Client: New Keys","","16","SSHv2"
"222","6.052032000","192.168.0.254","192.168.0.33","110","Client: Encrypted packet (len=44)","","44","SSHv2"
"224","6.052469000","192.168.0.33","192.168.0.254","110","Server: Encrypted packet (len=44)","","44","SSHv2"
"226","6.053148000","192.168.0.254","192.168.0.33","134","Client: Encrypted packet (len=68)","","68","SSHv2"
"229","6.092666000","192.168.0.33","192.168.0.254","118","Server: Encrypted packet (len=52)","","52","SSHv2"
"231","6.093697000","192.168.0.254","192.168.0.33","438","Client: Encrypted packet (len=372)","","372","SSHv2"
"233","6.123745000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"234","6.196433000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"235","6.196521000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"237","6.108304000","192.168.0.33","192.168.0.254","390","Server: Encrypted packet (len=324)","","324","SSHv2"
"239","6.112044000","192.168.0.254","192.168.0.33","710","Client: Encrypted packet (len=644)","","644","SSHv2"
"240","6.119487000","192.168.0.33","192.168.0.254","94","Server: Encrypted packet (len=28)","","28","SSHv2"
"242","6.120372000","192.168.0.254","192.168.0.33","178","Client: Encrypted packet (len=112)","","112","SSHv2"
"244","6.229203000","192.168.0.33","192.168.0.254","110","Server: Encrypted packet (len=44)","","44","SSHv2"
"246","6.230195000","192.168.0.254","192.168.0.33","194","Client: Encrypted packet (len=128)","","128","SSHv2"
"248","6.231959000","192.168.0.33","192.168.0.254","138","Server: Encrypted packet (len=72)","","72","SSHv2"
"250","6.232766000","192.168.0.254","192.168.0.33","102","Client: Encrypted packet (len=36)","","36","SSHv2"
"251","6.244172000","192.168.0.33","192.168.0.254","118","Server: Encrypted packet (len=52)","","52","SSHv2"
"253","6.245176000","192.168.0.254","192.168.0.33","102","Client: Encrypted packet (len=36)","","36","SSHv2"
"254","6.245735000","192.168.0.33","192.168.0.254","142","Server: Encrypted packet (len=76)","","76","SSHv2"
"256","6.246648000","192.168.0.254","192.168.0.33","102","Client: Encrypted packet (len=36)","","36","SSHv2"
"257","6.247734000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"258","6.247821000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"259","6.247858000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"260","6.247887000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"261","6.247913000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"262","6.247942000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"263","6.247968000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"264","6.248002000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"265","6.248036000","192.168.0.33","192.168.0.254","1514","Server: Encrypted packet (len=1448)","","1448","SSHv2"
"266","6.248130000","192.168.0.33","192.168.0.254","350","Server: Encrypted packet (len=284)","","284","SSHv2"
"274","6.250561000","192.168.0.254","192.168.0.33","102","Client: Encrypted packet (len=36)","","36","SSHv2"
"275","6.251342000","192.168.0.33","192.168.0.254","142","Server: Encrypted packet (len=76)","","76","SSHv2"
"277","6.252230000","192.168.0.254","192.168.0.33","102","Client: Encrypted packet (len=36)","","36","SSHv2"
