"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"109","3.366296000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"110","3.366299000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"111","3.366302000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"112","3.366304000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"115","3.430001000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"119","3.488661000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"120","3.488749000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"121","3.488763000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"122","3.516079000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"123","3.516167000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"126","3.552414000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"127","3.617052000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"128","3.617144000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"130","3.718815000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"131","3.718873000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"133","3.822164000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"134","3.822283000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"136","3.859934000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"137","3.924408000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"138","3.924503000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"140","4.025481000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"141","4.025566000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"143","4.126282000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"144","4.126348000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"146","4.214913000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"147","4.227186000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"148","4.227282000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"150","4.329958000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"151","4.330047000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"153","4.430938000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"154","4.431159000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"156","4.486166000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"157","4.532721000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"158","4.532937000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"160","4.634511000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"161","4.634904000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"163","4.737320000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"164","4.737398000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"166","4.757453000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"167","4.838850000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"168","4.838900000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"170","4.940709000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"171","4.940966000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"173","5.042497000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"174","5.042721000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"176","5.067429000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"177","5.144488000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"178","5.144793000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"180","5.255829000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"181","5.265471000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"183","5.348941000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"184","5.348968000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"186","5.388636000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"187","5.449932000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"188","5.450012000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"190","5.551675000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"191","5.551751000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"193","5.653625000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"194","5.653771000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"196","5.754072000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"197","5.754115000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"198","5.761204000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"200","5.855515000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"201","5.855553000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"203","5.956123000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"204","5.956331000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"205","6.057063000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"206","6.057274000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"208","6.184969000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"209","6.185165000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"210","6.185178000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"213","6.260694000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"214","6.260727000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"216","6.319886000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"217","6.362697000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"218","6.362991000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"220","6.464736000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"221","6.464799000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"223","6.564451000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"224","6.564481000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"226","6.618699000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"227","6.665548000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"228","6.665759000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"230","6.768029000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"231","6.768132000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"233","6.868413000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"234","6.868483000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"236","6.883640000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"237","6.970279000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"238","6.970306000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"240","7.070782000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"241","7.070889000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"243","7.172462000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"244","7.172500000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"246","7.272192000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"247","7.272267000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"248","7.272450000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"250","7.373291000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"251","7.373324000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"253","7.475082000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"254","7.475172000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"256","7.496184000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"257","7.576917000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"258","7.576952000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"260","7.678611000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"261","7.678695000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"263","7.784813000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"264","7.784846000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"266","7.808695000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"267","7.887645000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"268","7.888070000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"270","7.988203000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"271","7.988235000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"273","8.089112000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"274","8.089186000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"276","8.116189000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"277","8.190814000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"278","8.190843000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"280","8.294048000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"281","8.294182000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"283","8.399305000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"284","8.399362000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"286","8.500965000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"288","8.501310000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"293","8.916271000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"294","8.916615000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"295","8.916652000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"296","8.916669000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"297","8.916678000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"298","8.916684000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"299","8.916691000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"302","8.976264000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"303","8.976395000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"304","8.976409000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"307","9.022908000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"308","9.023027000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"310","9.036193000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"311","9.124710000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"312","9.124957000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
