#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.239, 0, 0.000, 0, 0, 0.000
2.427, 0, 0.000, 0, 0, 0.000
3.625, 0, 0.000, 0, 0, 0.000
4.835, 0, 0.000, 0, 0, 0.000
5.1039, 921, 0.000, 0, 6490, 0.000
6.1259, 921, 0.000, 0, 0, 55.871
7.1472, 921, 0.000, 0, 0, 55.871
8.1689, 243, 23.582, 0, 4355, 55.871
9.1907, 243, 23.440, 0, 4365, 55.871
10.2156, 243, 23.542, 0, 4376, 55.871
11.2374, 243, 23.590, 0, 4388, 55.871
12.2616, 243, 23.356, 0, 4399, 55.871
13.2837, 243, 23.354, 0, 2204, 54.893
14.3052, 243, 23.556, 0, 4421, 54.893
15.3314, 243, 23.654, 0, 4432, 54.893
16.3565, 243, 23.391, 0, 4443, 54.893
17.3764, 243, 21.916, 0, 4456, 54.893
18.9802, 243, 23.554, 0, 4363, 54.893
19.10012, 243, 23.748, 0, 4374, 54.893
20.10228, 243, 23.594, 0, 4386, 56.961
21.10450, 244, 25.490, 0, 4397, 56.961
22.10695, 243, 23.741, 0, 4408, 56.961
23.10928, 243, 23.616, 0, 4420, 56.961
24.11188, 243, 23.297, 0, 4430, 56.961
25.11397, 243, 23.524, 0, 4441, 56.961
26.11609, 243, 23.614, 0, 4453, 54.533
27.11849, 243, 23.597, 0, 4482, 54.533
28.12087, 243, 23.697, 0, 4518, 54.533
29.12336, 243, 23.536, 0, 4558, 54.533
30.12589, 243, 23.355, 0, 0, 54.533
31.12798, 243, 27.558, 0, 4634, 54.533
32.13016, 243, 23.699, 0, 7012, 54.197
33.13255, 243, 23.439, 0, 4715, 54.197
34.13600, 243, 23.472, 0, 4754, 54.197
35.14058, 243, 23.570, 0, 4793, 54.197
36.14317, 243, 23.490, 0, 4836, 54.197
37.14525, 587, 0.329, 190080, 117083, 54.197
38.14775, 162, 2.877, 3432780, 58464, 789.222
39.15029, 243, 23.380, 3396060, 41029, 789.222
40.15283, 198, 2.676, 5405400, 28072, 2678.611
41.15908, 243, 23.477, 6881220, 13491, 2678.611
42.16176, 587, 0.642, 7386120, 26452, 4660.227
43.16424, 162, 3.954, 10365840, 14575, 5671.062
44.16670, 243, 23.294, 10357200, 12956, 5671.062
45.16915, 1447, 0.172, 12559860, 14575, 7574.226
46.17170, 243, 23.076, 13543200, 328775, 8881.473
47.27276, 201, 2.563, 13720860, 234685, 9873.147
48.27522, 162, 2.561, 16645500, 194892, 10626.372
49.27772, 243, 23.263, 16508340, 145763, 11690.381
50.28009, 1300, 0.406, 18438840, 107974, 12554.736
51.28270, 243, 23.184, 19846080, 84217, 13457.265
52.38549, 1228, 0.402, 19090080, 1128338, 14393.587
53.38823, 162, 2.399, 17906400, 3401323, 12808.194
54.39073, 61, 163.359, 14639940, 4360762, 11360.178
55.39334, 1447, 0.186, 12506940, 5039241, 9634.404
56.39583, 243, 23.501, 8908380, 4978499, 6246.619
57.43393, 1446, 0.456, 5415120, 3836707, 4774.885
58.43664, 465, 0.293, 4560840, 5142824, 3160.544
59.43942, 244, 23.633, 192780, 4168239, 1309.064
60.44203, 1447, 0.299, 0, 2656201, 17.939
61.44828, 242, 21.773, 0, 6750, 9.392
62.45051, 244, 1.994, 0, 20347, 9.392
63.45301, 1422, 0.480, 0, 2961502, 6.163
64.50507, 243, 23.218, 0, 0, 11.801
65.50722, 1311, 2.253, 0, 3639482, 46.241
66.50959, 162, 2.716, 0, 1866231, 136.718
67.51211, 862, 21.597, 0, 10063, 166.468
68.51429, 587, 0.310, 0, 3308031, 13.191
69.54803, 243, 23.251, 0, 6623, 49.840
70.55020, 1448, 0.441, 0, 2303090, 67.628
71.55269, 1447, 0.187, 0, 3130985, 15.327
72.55504, 243, 23.325, 0, 6691, 12.226
73.55710, 1361, 1.017, 540, 3467326, 12.511
74.63588, 456, 0.496, 0, 2321059, 12.022
75.63824, 243, 23.481, 0, 6449, 9.701
76.64042, 1448, 0.435, 0, 2238449, 11.433
77.64277, 168, 2.498, 0, 2534525, 15.575
78.64512, 243, 23.683, 0, 6511, 55.672
79.75511, 189, 2.115, 0, 3617802, 44.624
80.75749, 243, 23.277, 0, 6150, 13.223
81.75980, 1448, 0.298, 0, 339121, 9.973
82.76272, 1448, 0.387, 0, 3217233, 47.509
83.76513, 243, 23.661, 0, 6230, 8.523
84.86752, 587, 0.690, 0, 2239137, 15.954
85.86990, 587, 0.690, 0, 0, 15.954
86.87204, 1448, 0.238, 0, 513480, 229.917
87.87440, 1448, 0.330, 0, 2571253, 14.252
88.87678, 243, 23.367, 0, 6133, 8.104
89.87924, 1323, 2.486, 0, 2319140, 14.551
90.88175, 185, 4.759, 0, 2877836, 76.438
91.88455, 243, 23.402, 0, 6201, 9.346
92.88668, 1448, 0.415, 1620, 2403261, 7.894
93.88899, 158, 5.965, 0, 3000677, 14.744
94.89149, 243, 23.428, 0, 0, 9.809
95.93996, 1448, 0.632, 0, 2143151, 8.936
96.94231, 162, 3.475, 0, 52821, 80.884
97.94465, 338, 65.653, 0, 12467, 80.884
98.94749, 1447, 0.237, 0, 3375937, 67.390
99.94987, 243, 23.252, 0, 0, 58.901
100.95216, 1448, 0.304, 0, 1271357, 29.211
101.95463, 1439, 0.574, 0, 3137496, 9.513
102.95691, 243, 23.355, 0, 0, 10.220
103.95902, 243, 23.120, 0, 6352, 11.392
104.96143, 243, 23.107, 0, 6433, 11.392
105.96401, 243, 23.045, 0, 4318, 11.392
106.96635, 243, 23.164, 0, 4318, 11.392
107.96867, 243, 23.135, 0, 4319, 11.392
108.97103, 243, 23.145, 0, 4318, 11.392
109.97348, 243, 23.137, 0, 4857, 77.617
110.97589, 243, 23.679, 0, 4318, 77.617
111.97823, 243, 23.225, 0, 4318, 77.617
112.98052, 243, 23.315, 0, 4858, 77.617
113.98308, 243, 23.462, 0, 32353, 77.617
114.98535, 243, 23.292, 0, 33028, 77.617
115.98745, 243, 21.434, 0, 33617, 77.617
116.98948, 243, 23.145, 0, 0, 34.160
117.99148, 244, 23.826, 0, 0, 34.160
118.99349, 243, 23.288, 0, 0, 34.160
119.99569, 243, 23.528, 0, 0, 34.160
120.99782, 243, 23.638, 0, 0, 34.160
121.99988, 243, 23.751, 0, 0, 34.160
122.100205, 243, 23.299, 0, 0, 34.687
123.100413, 243, 23.661, 0, 0, 34.687
124.100617, 243, 23.387, 0, 0, 34.687
125.100841, 243, 23.492, 0, 0, 34.687
126.101056, 243, 23.390, 0, 0, 34.687
127.101258, 243, 23.405, 0, 0, 34.687
128.101460, 243, 23.535, 0, 0, 52.500
129.101667, 243, 23.408, 0, 0, 52.500
130.101868, 243, 23.542, 0, 0, 52.500
131.104545, 243, 23.498, 0, 40878, 52.500
132.104761, 243, 23.510, 0, 0, 52.500
133.104970, 243, 24.180, 0, 0, 52.500
134.105183, 243, 23.657, 0, 0, 52.500
135.105402, 243, 23.501, 0, 0, 54.332
136.105631, 243, 23.327, 0, 0, 54.332
137.105864, 243, 23.878, 0, 0, 54.332
138.106079, 243, 33.494, 0, 0, 54.332
139.106298, 1448, 0.210, 887760, 0, 40.774
140.106551, 587, 0.193, 6010740, 101289, 896.041
141.106852, 1448, 0.307, 10633680, 28610, 1379.315
142.107141, 1447, 0.217, 15670260, 43726, 2974.665
143.107430, 142, 3.541, 20504340, 38867, 3615.865
144.107660, 587, 0.234, 25510680, 27532, 4426.478
145.107882, 1448, 0.261, 30481380, 0, 4426.478
146.108126, 1447, 0.199, 35062200, 27532, 6061.134
147.108392, 1447, 0.185, 39716460, 14575, 7774.134
148.108654, 1447, 0.187, 44677980, 122546, 7774.134
149.108915, 998, 0.216, 46826640, 322295, 9965.128
150.109163, 1439, 0.302, 51771420, 280189, 10973.716
151.109409, 1447, 0.184, 56425680, 124169, 11935.657
152.109648, 1447, 0.187, 60999480, 224586, 12893.410
153.109893, 587, 0.266, 65013840, 329318, 13803.861
154.110168, 1448, 0.390, 68121000, 2431567, 14644.707
155.110458, 1361, 1.226, 68556780, 4566761, 15096.758
156.110769, 1361, 1.226, 64873980, 782935, 15311.054
157.111133, 1361, 1.226, 61141500, 4148959, 15535.644
158.111478, 1447, 0.256, 60583140, 4146242, 15749.074
159.111748, 587, 0.333, 61608060, 3970177, 16065.055
160.112176, 1447, 0.193, 61444440, 4963960, 16277.826
161.112550, 1439, 0.605, 62009280, 5648745, 16452.748
162.112805, 1328, 0.435, 62627580, 2886842, 16759.768
163.113056, 1447, 0.217, 64115280, 3541711, 17009.418
164.113318, 1447, 0.202, 65014920, 1128321, 17248.992
165.113610, 1448, 0.286, 66174300, 5522883, 17580.416
166.113938, 587, 0.392, 68463360, 2597275, 17983.861
167.114247, 71, 7.677, 67876920, 4405963, 17757.729
168.114581, 1448, 0.226, 69164820, 3864618, 17969.070
169.114837, 1448, 0.194, 70109280, 3931469, 18234.395
170.115207, 1447, 0.212, 71184420, 5047204, 18632.164
171.115536, 587, 0.282, 73018800, 4506474, 18750.559
172.115837, 587, 0.270, 73692180, 2336650, 19018.123
173.116195, 1448, 0.208, 75151260, 0, 19176.338
174.116456, 587, 0.268, 78740100, 0, 19940.574
175.116769, 1448, 0.185, 82792260, 3323933, 20869.820
176.117029, 1448, 0.198, 87334740, 0, 21704.748
177.117303, 54, 19.366, 87070680, 4589070, 19532.484
178.118023, 1447, 0.243, 86949720, 4172594, 19466.260
179.118313, 1448, 0.346, 87886080, 4723253, 19727.207
180.118580, 587, 0.269, 87847200, 3269215, 19742.301
181.118891, 1448, 0.197, 88103160, 1718663, 20025.168
182.119131, 1447, 0.184, 90145980, 2969891, 20360.881
183.123780, 1448, 0.437, 91979280, 1767101, 20628.688
184.124050, 1448, 0.196, 93397860, 5587872, 20843.803
185.124374, 1361, 1.441, 94124700, 2139661, 21100.318
186.124629, 587, 0.211, 95000580, 4917484, 21395.828
187.124955, 1447, 0.471, 96455340, 4362435, 21712.090
188.125302, 243, 23.444, 92963160, 2255307, 22053.240
189.125612, 243, 23.133, 89897580, 3714567, 21975.422
190.125911, 243, 23.136, 86688900, 698942, 22376.574
191.126180, 243, 23.180, 83171880, 6016899, 22473.445
192.126447, 243, 23.287, 78840540, 5497602, 22772.242
193.126705, 243, 23.166, 75433680, 1064901, 22875.590
194.126957, 243, 23.160, 71303760, 5154779, 23058.504
195.127234, 243, 24.347, 67833180, 759885, 23248.383
196.127490, 243, 23.524, 64021860, 4271862, 23507.418
197.127745, 243, 23.259, 61063740, 5290431, 23804.662
198.128007, 243, 23.245, 58064580, 3061539, 24148.627
199.128267, 243, 22.802, 55077300, 1951638, 24440.402
200.128526, 243, 23.239, 51063480, 3956375, 24733.020
201.128815, 243, 23.167, 47730060, 4229272, 25057.721
202.129123, 243, 23.502, 44162280, 1466063, 25341.553
203.129375, 243, 23.679, 41278140, 2078359, 25153.152
204.129640, 243, 23.490, 37879380, 3012007, 25313.264
205.129986, 243, 23.358, 33535080, 3926464, 25303.984
206.130340, 243, 23.613, 29204820, 2226198, 25416.693
207.130612, 243, 23.797, 25525260, 4887609, 25568.428
208.130901, 243, 23.346, 21353760, 5637757, 25697.637
209.131197, 243, 23.079, 17300520, 604859, 25792.922
210.131477, 243, 23.152, 13556160, 0, 26105.170
211.131720, 243, 23.293, 9887940, 5107752, 26262.922
212.131996, 243, 23.341, 6120360, 0, 26382.240
213.132242, 243, 23.267, 2121120, 0, 26480.273
214.132472, 243, 24.085, 0, 0, 1034.496
215.132693, 243, 24.432, 0, 0, 1034.496
216.132920, 27, 88.904, 0, 47808, 1034.496
217.137961, 243, 23.533, 0, 4318, 1034.496
